Participant,sample1_1,sample1_2,sample1_3,sample1_4,sample1_5,sample1_6,sample1_7,sample1_8,sample2_1,sample2_2,sample2_3,sample2_4,sample2_5,sample2_6,sample2_7,sample2_8,sample3_1,sample3_2,sample3_3,sample3_4,sample3_5,sample3_6,sample3_7,sample3_8,sample4_1,sample4_2,sample4_3,sample4_4,sample4_5,sample4_6,sample4_7,sample4_8,sample5_1,sample5_2,sample5_3,sample5_4,sample5_5,sample5_6,sample5_7,sample5_8,sample6_1,sample6_2,sample6_3,sample6_4,sample6_5,sample6_6,sample6_7,sample6_8,sample7_1,sample7_2,sample7_3,sample7_4,sample7_5,sample7_6,sample7_7,sample7_8,sample8_1,sample8_2,sample8_3,sample8_4,sample8_5,sample8_6,sample8_7,sample8_8,sample9_1,sample9_2,sample9_3,sample9_4,sample9_5,sample9_6,sample9_7,sample9_8,sample10_1,sample10_2,sample10_3,sample10_4,sample10_5,sample10_6,sample10_7,sample10_8,sample11_1,sample11_2,sample11_3,sample11_4,sample11_5,sample11_6,sample11_7,sample11_8,sample12_1,sample12_2,sample12_3,sample12_4,sample12_5,sample12_6,sample12_7,sample12_8
14,562.7271685,255.7365832,-0.000263615,-23.22040756,-6.404363898,20.80471974,38.29380637,-52.61211321,1403.29839,806.1954034,2.87E-05,46.26035544,45.55582839,126.7590126,250.7151769,114.2807219,1050.564085,636.8010498,0.000263615,41.09511151,40.61493375,108.7018204,214.5660169,79.3838259,1506.703112,842.7055359,0.000265155,51.59542275,45.82299324,127.9536668,252.6294732,125.393928,1.029671946,0.883212183,-0.662518366,-0.242175741,-0.27550088,0.441903106,0.448802783,-1.153922058,2.396403406,2.18144752,2.128533939,1.858367893,1.598457486,1.743311643,1.758590849,2.689620198,1969246.371,649951.0284,8.21E-10,2140.020486,2075.333501,16067.84726,62858.09992,13060.0834,0.212047652,0.212047652,0.212047652,0.212047652,0.212047652,0.212047652,0.212047652,0.212047652,6.632179568,6.632179568,6.632179568,6.632179568,6.632179568,6.632179568,6.632179568,6.632179568,-5878803515,-5878803515,-5878803515,-5878803515,-5878803515,-5878803515,-5878803515,-5878803515,-12632110754274.8+36032578916819.3i,-12632110754274.8+36032578916819.3i,-12632110754274.8+36032578916819.3i,-12632110754274.8+36032578916819.3i,-12632110754274.8+36032578916819.3i,-12632110754274.8+36032578916819.3i,-12632110754274.8+36032578916819.3i,-12632110754274.8+36032578916819.3i,175376.7501,217367.8443,9.13E-08,841.139278,666.3669755,5317.325381,20505.05819,4971.968371
14,1189.688062,643.6471252,-0.000166583,0.84505632,20.32510387,90.4640402,169.8379389,-98.41704286,1366.862453,737.6370268,8.96E-05,21.71225404,23.31233307,97.08728149,196.5193188,116.250172,1364.192617,745.2052669,0.000166967,17.15594572,26.88273169,105.4768872,206.9559433,112.2507322,1807.994128,976.7659313,0.00018896,21.64242711,30.8587347,132.4193103,259.1491105,151.9630285,0.309832814,0.268079311,0.71242802,0.635095444,-0.428971797,0.079397396,0.092986041,-0.397831297,1.535957475,1.521516491,1.90142406,2.460972337,1.720193475,1.496415829,1.505731969,1.608257348,1868312.965,544108.3834,8.02E-09,471.4219755,543.464873,9425.940227,38619.84267,13514.10249,0.05003981,0.05003981,0.05003981,0.05003981,0.05003981,0.05003981,0.05003981,0.05003981,15.68640611,15.68640611,15.68640611,15.68640611,15.68640611,15.68640611,15.68640611,15.68640611,-8395643694,-8395643694,-8395643694,-8395643694,-8395643694,-8395643694,-8395643694,-8395643694,48927887430553.7+33382082506049.2i,48927887430553.7+33382082506049.2i,48927887430553.7+33382082506049.2i,48927887430553.7+33382082506049.2i,48927887430553.7+33382082506049.2i,48927887430553.7+33382082506049.2i,48927887430553.7+33382082506049.2i,48927887430553.7+33382082506049.2i,100344.5021,47138.02581,6.99E-10,147.9388757,300.8700643,5541.235123,16406.58203,7175.739151
14,406.8162929,195.5172285,5.17E-06,-16.17730869,-0.299298834,16.33978473,26.83131389,-38.12713328,982.7948925,534.8191586,0.000140674,9.050345259,17.93093566,75.56831701,147.6176678,79.97226224,602.6379246,325.6412205,0.000102307,16.46912452,13.97349363,51.12243227,99.10956901,47.94495457,1060.056384,567.4402414,0.00014021,18.51928714,17.86214712,77.02101734,149.4588605,88.30901758,1.665509868,1.665982279,1.555481831,0.423662154,1.192789719,1.608412959,1.649377184,-1.741196539,4.473612169,4.472100958,10.2914139,2.377587659,3.585186373,4.208021575,4.382415914,4.708562587,965885.8008,286031.5324,1.98E-08,81.90874931,321.5184537,5710.570535,21790.97584,6395.562728,0.275464871,0.275464871,0.275464871,0.275464871,0.275464871,0.275464871,0.275464871,0.275464871,5.103885399,5.103885399,5.103885399,5.103885399,5.103885399,5.103885399,5.103885399,5.103885399,-2821800787,-2821800787,-2821800787,-2821800787,-2821800787,-2821800787,-2821800787,-2821800787,56591006936134.3-52385517757242.6i,56591006936134.3-52385517757242.6i,56591006936134.3-52385517757242.6i,56591006936134.3-52385517757242.6i,56591006936134.3-52385517757242.6i,56591006936134.3-52385517757242.6i,56591006936134.3-52385517757242.6i,56591006936134.3-52385517757242.6i,1917704.692,416989.8917,6.21E-09,108.3225666,100.7714971,1873.41944,7755.237746,2464.445279
14,-92.76211916,-70.87452416,0.010449088,-16.68694854,-8.137959639,-22.97013007,-41.67678155,2.918721501,177.7886969,92.80098763,0.012424,9.584137759,7.012515211,7.961196848,15.74457257,13.34999804,169.1986706,95.28654386,0.010449088,17.55145356,9.143566345,22.97013007,41.67678155,11.10807752,199.9068979,116.4769165,0.016196116,19.22448789,10.72434035,24.30029855,44.52952158,13.61348298,-0.059645144,-0.041909019,0.592726918,0.800786398,0.339485227,-0.215480571,-0.284282646,0.243252668,1.591846556,1.547941848,1.597287944,3.190652875,2.72999483,3.163022856,2.377787072,2.213091064,31608.82073,8612.023304,0.000154356,91.85569658,49.17536958,63.38065525,247.8915654,178.2224476,0.197110824,0.197110824,0.197110824,0.197110824,0.197110824,0.197110824,0.197110824,0.197110824,6.675421929,6.675421929,6.675421929,6.675421929,6.675421929,6.675421929,6.675421929,6.675421929,-76274802.03,-76274802.03,-76274802.03,-76274802.03,-76274802.03,-76274802.03,-76274802.03,-76274802.03,-32069160355330.5-74019703055853i,-32069160355330.5-74019703055853i,-32069160355330.5-74019703055853i,-32069160355330.5-74019703055853i,-32069160355330.5-74019703055853i,-32069160355330.5-74019703055853i,-32069160355330.5-74019703055853i,-32069160355330.5-74019703055853i,12485.493,4285.132999,8.27E-05,116.7293189,36.32549704,186.5617118,649.8457261,58.5340929
14,-236.7876176,-142.9624074,0.00882379,-4.931008956,-11.14031605,-30.48493735,-48.10450573,16.21700297,146.5216219,76.91768544,0.015754411,11.15346532,7.559682092,11.58397297,11.81627702,12.86771819,259.5980832,150.5214269,0.015254847,9.747279945,11.81544198,30.48493735,48.10450573,18.29883411,278.1484783,162.1962554,0.018002524,12.15431355,13.4462587,32.59531941,49.52332526,20.67015346,1.483421078,1.461030739,-0.122049102,-0.395134598,0.503597803,-0.318421436,0.725683214,-0.883460681,3.789588938,3.756096947,1.733942243,2.441551932,2.938787099,2.264974965,3.279671455,3.191136559,21468.58569,5916.330333,0.000248201,124.3997885,57.14879334,134.1884298,139.6244027,165.5781713,0.148734486,0.148734486,0.148734486,0.148734486,0.148734486,0.148734486,0.148734486,0.148734486,9.022427043,9.022427043,9.022427043,9.022427043,9.022427043,9.022427043,9.022427043,9.022427043,-150039002.9,-150039002.9,-150039002.9,-150039002.9,-150039002.9,-150039002.9,-150039002.9,-150039002.9,-75735316392233.9-13731539518825i,-75735316392233.9-13731539518825i,-75735316392233.9-13731539518825i,-75735316392233.9-13731539518825i,-75735316392233.9-13731539518825i,-75735316392233.9-13731539518825i,-75735316392233.9-13731539518825i,-75735316392233.9-13731539518825i,27903.2074,10962.58337,0.000131033,46.65855219,57.10489168,360.0387482,1192.521073,134.9637002
14,-278.9082977,-156.8871237,-0.010595144,3.143080802,-7.022903102,-23.48679917,-42.7025817,24.89410476,39.01542273,28.77684007,0.011089282,7.036156619,10.30370453,16.99677652,12.86727097,6.265535521,278.9082977,156.8871237,0.014168947,6.14666221,10.39766631,24.08089176,42.7025817,24.89410476,281.6024872,159.483867,0.015305335,7.680725241,12.43563047,28.9521565,44.58433721,25.66440773,0.123696625,0.020481372,1.20421788,0.387539455,0.295126676,-0.159358722,0.275438493,0.079439954,1.875295824,1.85400204,3.189141474,2.96454252,2.308210882,2.000738496,2.203180518,3.519883202,1522.203211,828.1065244,0.000122972,49.50749997,106.1663271,288.890412,165.5666621,39.25693536,0.132228776,0.132228776,0.132228776,0.132228776,0.132228776,0.132228776,0.132228776,0.132228776,10.65449683,10.65449683,10.65449683,10.65449683,10.65449683,10.65449683,10.65449683,10.65449683,-149209659.6,-149209659.6,-149209659.6,-149209659.6,-149209659.6,-149209659.6,-149209659.6,-149209659.6,-49683270793886.7+59425301109660.7i,-49683270793886.7+59425301109660.7i,-49683270793886.7+59425301109660.7i,-49683270793886.7+59425301109660.7i,-49683270793886.7+59425301109660.7i,-49683270793886.7+59425301109660.7i,-49683270793886.7+59425301109660.7i,-49683270793886.7+59425301109660.7i,673036.9812,59388.39959,3.05E-05,18.63265986,48.84341211,272.6716088,965.9014671,213.5867908
14,-220.1818108,-115.4247511,-0.012278475,0.807887713,-0.468543791,-8.195564411,-25.89875872,20.12487175,33.93284345,22.86808766,0.006983133,7.99741033,8.219813763,7.99509121,12.14427553,8.847453577,220.1818108,115.4247511,0.012301692,6.386214802,6.345532966,9.640503984,26.107098,20.12487175,222.7606996,117.6506363,0.014111629,8.006475306,8.200526736,11.4272239,28.5842374,21.96967565,-0.136481656,-0.16990525,0.429787979,0.393237223,0.581707963,0.260927709,0.245011442,0.176281428,2.035452928,1.937004233,1.706442826,3.005212509,3.23307322,2.860715568,2.708089508,2.372529405,1151.437865,522.9494331,4.88E-05,63.95857199,67.56533831,63.92148346,147.4834282,78.27743479,0.13654632,0.13654632,0.13654632,0.13654632,0.13654632,0.13654632,0.13654632,0.13654632,10.04994417,10.04994417,10.04994417,10.04994417,10.04994417,10.04994417,10.04994417,10.04994417,-85936099.39,-85936099.39,-85936099.39,-85936099.39,-85936099.39,-85936099.39,-85936099.39,-85936099.39,22624270860668.5+81516042865685.5i,22624270860668.5+81516042865685.5i,22624270860668.5+81516042865685.5i,22624270860668.5+81516042865685.5i,22624270860668.5+81516042865685.5i,22624270860668.5+81516042865685.5i,22624270860668.5+81516042865685.5i,22624270860668.5+81516042865685.5i,220055.4549,30801.98028,2.11E-06,20.24663297,21.2399489,41.24315001,261.6697882,152.616352
14,-168.6867647,-83.6686525,-0.001282713,0.680137082,-0.055786715,-4.439251711,-16.59560099,12.07651433,30.47770094,18.20579863,0.005854217,9.791090185,8.338218099,9.14400348,10.84641567,7.623324497,168.6867647,83.6686525,0.004902654,7.992224642,6.480677296,8.349654976,16.84411389,12.38357016,171.3964489,85.61112049,0.005970361,9.775847614,8.305251382,10.13193771,19.80214678,14.26520396,-0.296021901,-0.386634342,-0.685099683,0.188562882,0.443513973,0.739451639,-0.459538284,0.455300889,2.131741453,2.551866537,2.112128082,2.467131994,3.010797058,3.880920395,2.865619435,3.57667569,928.8902545,331.4511039,3.43E-05,95.86544701,69.52588107,83.61279964,117.6447329,58.11507639,0.14036788,0.14036788,0.14036788,0.14036788,0.14036788,0.14036788,0.14036788,0.14036788,9.155818174,9.155818174,9.155818174,9.155818174,9.155818174,9.155818174,9.155818174,9.155818174,-47260425.76,-47260425.76,-47260425.76,-47260425.76,-47260425.76,-47260425.76,-47260425.76,-47260425.76,85000128446762.5+27607350348831.4i,85000128446762.5+27607350348831.4i,85000128446762.5+27607350348831.4i,85000128446762.5+27607350348831.4i,85000128446762.5+27607350348831.4i,85000128446762.5+27607350348831.4i,85000128446762.5+27607350348831.4i,85000128446762.5+27607350348831.4i,112773.9534,8536.320768,3.82E-06,30.18418777,21.78593112,32.42319806,123.8496937,64.27267747
14,-123.389685,-62.68396292,0.003440884,5.478652834,-1.349026576,-10.55373002,-12.64867281,11.45187915,25.90865988,11.70475207,0.001050907,10.30111489,8.130701925,13.2151672,13.2529233,7.377142253,123.389685,62.68396292,0.003440884,9.552357189,6.902542742,13.59879031,15.09280421,12.11039932,126.0592938,63.75886697,0.003596571,11.63126986,8.209964515,16.87115362,18.2820932,13.60646322,0.101069553,-0.34405051,-0.661745373,-0.309091157,0.023882159,0.155895019,-0.053492413,-0.317332525,2.014854345,2.461492997,2.475585079,2.519912796,2.285066222,2.891238373,2.712621387,3.35641851,671.2586567,137.0012211,1.10E-06,106.112968,66.10831379,174.6406441,175.639976,54.42222782,0.152935725,0.152935725,0.152935725,0.152935725,0.152935725,0.152935725,0.152935725,0.152935725,7.951678293,7.951678293,7.951678293,7.951678293,7.951678293,7.951678293,7.951678293,7.951678293,-24585883.36,-24585883.36,-24585883.36,-24585883.36,-24585883.36,-24585883.36,-24585883.36,-24585883.36,58405302671329.3-48570698637272.8i,58405302671329.3-48570698637272.8i,58405302671329.3-48570698637272.8i,58405302671329.3-48570698637272.8i,58405302671329.3-48570698637272.8i,58405302671329.3-48570698637272.8i,58405302671329.3-48570698637272.8i,58405302671329.3-48570698637272.8i,19609.15064,2720.471102,1.28E-07,42.72918231,21.28889919,89.90005232,105.5655521,58.47374568
14,-81.99693865,-37.22787276,0.002071841,7.844388854,0.219447617,-3.509029445,1.609936206,11.40544106,25.036293,21.50516176,0.001453619,10.1908606,9.16249647,20.25095875,18.84999248,9.472064259,81.99693865,37.94658964,0.002071841,10.49884795,7.657922528,17.18025912,16.07860356,12.78723471,85.70495426,42.95015809,0.0025276,12.82824388,9.128702993,20.4733936,18.84394049,14.80175745,-0.231044988,0.412679595,0.283557101,-0.149506475,0.180071797,0.396913746,-0.287279202,-0.416138232,2.100645829,2.062165288,1.657142353,2.332301632,2.24411347,2.265279691,2.014962452,3.613900455,626.8159672,462.4719825,2.11E-06,103.8536398,83.95134157,410.1013302,355.3222163,89.72000132,0.184047076,0.184047076,0.184047076,0.184047076,0.184047076,0.184047076,0.184047076,0.184047076,6.655250967,6.655250967,6.655250967,6.655250967,6.655250967,6.655250967,6.655250967,6.655250967,-11190102.77,-11190102.77,-11190102.77,-11190102.77,-11190102.77,-11190102.77,-11190102.77,-11190102.77,-17715106522346.4-55172372004499.1i,-17715106522346.4-55172372004499.1i,-17715106522346.4-55172372004499.1i,-17715106522346.4-55172372004499.1i,-17715106522346.4-55172372004499.1i,-17715106522346.4-55172372004499.1i,-17715106522346.4-55172372004499.1i,-17715106522346.4-55172372004499.1i,3937.918408,759.7540755,2.34E-08,51.97623321,26.32016099,132.388438,112.1537593,69.19854344
