Participant,sample1_1,sample1_2,sample1_3,sample1_4,sample1_5,sample1_6,sample1_7,sample1_8,sample2_1,sample2_2,sample2_3,sample2_4,sample2_5,sample2_6,sample2_7,sample2_8,sample3_1,sample3_2,sample3_3,sample3_4,sample3_5,sample3_6,sample3_7,sample3_8,sample4_1,sample4_2,sample4_3,sample4_4,sample4_5,sample4_6,sample4_7,sample4_8,sample5_1,sample5_2,sample5_3,sample5_4,sample5_5,sample5_6,sample5_7,sample5_8,sample6_1,sample6_2,sample6_3,sample6_4,sample6_5,sample6_6,sample6_7,sample6_8,sample7_1,sample7_2,sample7_3,sample7_4,sample7_5,sample7_6,sample7_7,sample7_8,sample8_1,sample8_2,sample8_3,sample8_4,sample8_5,sample8_6,sample8_7,sample8_8,sample9_1,sample9_2,sample9_3,sample9_4,sample9_5,sample9_6,sample9_7,sample9_8,sample10_1,sample10_2,sample10_3,sample10_4,sample10_5,sample10_6,sample10_7,sample10_8,sample11_1,sample11_2,sample11_3,sample11_4,sample11_5,sample11_6,sample11_7,sample11_8,sample12_1,sample12_2,sample12_3,sample12_4,sample12_5,sample12_6,sample12_7,sample12_8
7,2.680252697,1.641895233,2.179862332,2.068409144,2.454967511,3.105150043,2.225710795,1.83612879,12.3325399,5.046064042,3.8621455,3.264373713,4.497720008,4.091628971,3.622217634,3.118889545,11.51905834,4.491528119,3.574816339,3.146222073,3.939705726,4.125410631,3.612259973,2.873601296,12.57213437,5.28723748,4.421384207,3.853466367,5.108279052,5.123422001,4.239019397,3.608465207,-0.144866334,0.276315929,-0.09675642,0.133007605,0.309955879,0.158356367,-0.381624613,0.376200594,1.602196001,1.673720484,2.392543791,1.944820842,1.952940709,1.845670091,2.349424994,2.516441862,152.0915404,25.46276232,14.91616786,10.65613574,20.22948527,16.74142763,13.12046059,9.727471991,0.243168761,0.243168761,0.243168761,0.243168761,0.243168761,0.243168761,0.243168761,0.243168761,4.409868911,4.409868911,4.409868911,4.409868911,4.409868911,4.409868911,4.409868911,4.409868911,-173300.5765,-173300.5765,-173300.5765,-173300.5765,-173300.5765,-173300.5765,-173300.5765,-173300.5765,-1517452799.27564+1924916233.98021i,-1517452799.27564+1924916233.98021i,-1517452799.27564+1924916233.98021i,-1517452799.27564+1924916233.98021i,-1517452799.27564+1924916233.98021i,-1517452799.27564+1924916233.98021i,-1517452799.27564+1924916233.98021i,-1517452799.27564+1924916233.98021i,49.92157012,8.829335114,6.174287932,4.690007772,8.241755195,8.29068928,5.675461541,4.112590315
7,0.11901805,1.689632955,0.195320181,-0.838854055,-0.754003366,0.149167614,0.285647183,-1.546942318,13.01517863,7.378366086,2.310837223,2.304510861,2.480429259,2.364642911,2.821324737,3.072030417,11.74388576,6.041306135,1.933460663,1.997783479,2.043645788,1.907525397,2.282148495,2.780744122,12.96397456,7.540761225,2.309921631,2.443828444,2.583064224,2.359959703,2.824587401,3.428629704,0.273591681,0.602098519,0.013691779,0.046063457,-0.233908826,0.129771566,0.302194146,-0.010507558,1.490004388,2.476538351,2.367901163,3.517113726,2.928746283,2.610061257,2.484972907,2.558298209,169.3948748,54.4402861,5.339968671,5.310770309,6.152529307,5.591536096,7.95987327,9.437370881,0.230491911,0.230491911,0.230491911,0.230491911,0.230491911,0.230491911,0.230491911,0.230491911,4.824613318,4.824613318,4.824613318,4.824613318,4.824613318,4.824613318,4.824613318,4.824613318,-163690.6677,-163690.6677,-163690.6677,-163690.6677,-163690.6677,-163690.6677,-163690.6677,-163690.6677,2102141267.95169+837103785.488306i,2102141267.95169+837103785.488306i,2102141267.95169+837103785.488306i,2102141267.95169+837103785.488306i,2102141267.95169+837103785.488306i,2102141267.95169+837103785.488306i,2102141267.95169+837103785.488306i,2102141267.95169+837103785.488306i,53.08204407,17.95976978,1.685252105,1.886304571,2.107370011,1.759055579,2.519883263,3.712885474
7,7.981202173,3.184816477,0.635803148,1.058824442,1.914420246,2.933233519,1.059723557,0.437779519,9.635643371,6.845585523,2.452249154,3.608829884,3.620947475,3.627540709,2.793750864,5.193679985,10.83741349,5.751435741,2.022725181,2.982278014,3.352612321,3.703982066,2.328628388,4.069523059,12.48232115,7.525501723,2.52389484,3.747185611,4.083161504,4.653866516,2.977601907,5.191520091,-0.775999955,0.282124291,0.24601443,0.207817243,-0.176097926,0.087912359,0.304890175,0.576048256,3.153723849,2.720945554,2.58553708,2.537076228,2.692438729,2.491108951,2.162567803,2.567846562,92.84562318,46.86204116,6.013525915,13.02365313,13.11126062,13.1590516,7.805043892,26.97431179,0.216624956,0.216624956,0.216624956,0.216624956,0.216624956,0.216624956,0.216624956,0.216624956,4.730549223,4.730549223,4.730549223,4.730549223,4.730549223,4.730549223,4.730549223,4.730549223,-184972.6679,-184972.6679,-184972.6679,-184972.6679,-184972.6679,-184972.6679,-184972.6679,-184972.6679,5324314900.40919+670162523.268569i,5324314900.40919+670162523.268569i,5324314900.40919+670162523.268569i,5324314900.40919+670162523.268569i,5324314900.40919+670162523.268569i,5324314900.40919+670162523.268569i,5324314900.40919+670162523.268569i,5324314900.40919+670162523.268569i,49.21096745,17.88715648,2.011930146,4.434869022,5.265789609,6.840663567,2.800294159,8.512545863
7,1.29366792,-0.129368759,2.37938923,2.750418785,2.931465917,0.256815911,1.697284125,2.153737181,9.180672529,4.003866355,3.032608511,2.694495296,2.649161218,6.793655729,2.532727032,5.234321603,7.571061037,3.150571,2.928014676,3.066655741,3.237257518,6.032270142,2.388343458,4.650847207,9.235225942,3.990044152,3.845155093,3.842848803,3.944090355,6.771514816,3.040488324,5.640856413,0.23901209,0.133867942,0.439150446,0.314481909,0.175734291,-0.433538278,0.038546286,-0.274369533,2.527173329,2.845591786,2.630321333,2.248473021,3.117748758,1.898115369,2.411580934,2.522997103,84.28474809,16.03094579,9.196714382,7.260304902,7.018055156,46.15375816,6.414706217,27.39812264,0.293558521,0.293558521,0.293558521,0.293558521,0.293558521,0.293558521,0.293558521,0.293558521,3.67515246,3.67515246,3.67515246,3.67515246,3.67515246,3.67515246,3.67515246,3.67515246,-125569.2771,-125569.2771,-125569.2771,-125569.2771,-125569.2771,-125569.2771,-125569.2771,-125569.2771,275555300.994869-3674969862.07679i,275555300.994869-3674969862.07679i,275555300.994869-3674969862.07679i,275555300.994869-3674969862.07679i,275555300.994869-3674969862.07679i,275555300.994869-3674969862.07679i,275555300.994869-3674969862.07679i,275555300.994869-3674969862.07679i,26.93800571,5.028353428,4.669798216,4.664198044,4.913196467,14.48257744,2.919826624,10.04987075
7,-5.065275609,-0.686676523,0.90056801,0.593719184,0.265859411,-1.354414817,1.393444185,0.524187637,4.819592387,3.760003598,3.935479815,2.94286134,2.088233143,5.802229285,2.331749547,4.163727154,5.557664826,3.11974626,3.188791895,2.359632721,1.745787331,4.923586439,2.225706059,3.295852039,6.978619838,3.807485826,4.021952694,2.990685832,2.096852407,5.935748881,2.708429694,4.180167967,-0.582317739,-0.036305126,0.216963765,0.115165451,-0.255226289,-0.374727637,-0.110990276,-0.472041173,3.065028105,2.30949619,2.584881078,2.692279177,2.497920862,1.988158615,2.54952204,2.78069975,23.22847078,14.13762705,15.48800137,8.660432868,4.360717661,33.66586468,5.43705595,17.33662381,0.320381964,0.320381964,0.320381964,0.320381964,0.320381964,0.320381964,0.320381964,0.320381964,3.276822149,3.276822149,3.276822149,3.276822149,3.276822149,3.276822149,3.276822149,3.276822149,-74759.10191,-74759.10191,-74759.10191,-74759.10191,-74759.10191,-74759.10191,-74759.10191,-74759.10191,-152852456996.104-34422466630.2092i,-152852456996.104-34422466630.2092i,-152852456996.104-34422466630.2092i,-152852456996.104-34422466630.2092i,-152852456996.104-34422466630.2092i,-152852456996.104-34422466630.2092i,-152852456996.104-34422466630.2092i,-152852456996.104-34422466630.2092i,15.38188174,4.578750468,5.109098814,2.824958445,1.38869257,11.12811039,2.31689056,5.518967702
7,0.349148338,0.345670187,-2.222182835,-0.914730028,-1.063582394,0.437801184,-0.910393509,-1.258352186,5.989701383,2.680926293,3.618308332,2.712206,2.14266107,3.43107254,3.664715601,3.119297445,5.052737754,2.174997026,3.290023526,2.279489363,1.945018787,2.77079516,3.279296652,2.563513835,5.976093449,2.692547322,4.233951552,2.852088878,2.384484743,3.445358911,3.761963365,3.352050778,-0.797694079,0.045599963,-0.391792081,0.068120469,0.069546926,-0.016170325,0.170779678,-0.167519765,2.789156481,2.500162346,3.083377888,2.463254396,2.656862588,2.554071334,1.842991416,2.25792872,35.87652266,7.18736579,13.09215519,7.356061386,4.590996459,11.77225878,13.43014044,9.73001655,0.354390131,0.354390131,0.354390131,0.354390131,0.354390131,0.354390131,0.354390131,0.354390131,3.179151986,3.179151986,3.179151986,3.179151986,3.179151986,3.179151986,3.179151986,3.179151986,-48799.12355,-48799.12355,-48799.12355,-48799.12355,-48799.12355,-48799.12355,-48799.12355,-48799.12355,-123791195983.749+9814168452.99767i,-123791195983.749+9814168452.99767i,-123791195983.749+9814168452.99767i,-123791195983.749+9814168452.99767i,-123791195983.749+9814168452.99767i,-123791195983.749+9814168452.99767i,-123791195983.749+9814168452.99767i,-123791195983.749+9814168452.99767i,11.27989733,2.289797498,5.661899486,2.56919073,1.795806266,3.749206202,4.469917536,3.548882042
7,-1.467670874,1.11121734,2.802360692,1.072064106,0.894957195,-2.100506847,-0.59908552,0.318139108,6.946222323,2.196633905,6.973169761,3.323582527,3.191193241,2.39089681,4.140056037,4.204759572,6.453567132,1.950648668,6.401990363,2.828130662,2.789872221,2.553968625,3.663933916,3.660761308,7.072561475,2.453917123,7.489486531,3.479634176,3.302096236,3.175397363,4.166885551,4.200106911,-0.133134922,0.157588287,-0.196776854,-0.177788872,-0.154510134,-0.029690251,0.382702857,-0.237344478,1.454721901,2.267796272,1.932102344,2.456585238,2.049734286,3.169039886,2.116806534,1.789942533,48.25000457,4.825200513,48.62509652,11.04620081,10.1837143,5.716387556,17.14006399,17.68000306,0.254381117,0.254381117,0.254381117,0.254381117,0.254381117,0.254381117,0.254381117,0.254381117,3.65464646,3.65464646,3.65464646,3.65464646,3.65464646,3.65464646,3.65464646,3.65464646,-87449.67437,-87449.67437,-87449.67437,-87449.67437,-87449.67437,-87449.67437,-87449.67437,-87449.67437,42693182837.1772+45241325115.1151i,42693182837.1772+45241325115.1151i,42693182837.1772+45241325115.1151i,42693182837.1772+45241325115.1151i,42693182837.1772+45241325115.1151i,42693182837.1772+45241325115.1151i,42693182837.1772+45241325115.1151i,42693182837.1772+45241325115.1151i,15.81264923,1.901910906,17.72310619,3.824173259,3.443894502,3.184685469,5.483950737,5.571743014
7,-5.206687387,-0.877639426,3.527064907,1.779757924,1.819556058,-0.994742308,1.732074994,1.831936891,6.981176996,3.953859337,6.244822085,3.0992296,2.86257491,4.120531161,3.011400823,2.966429391,7.972324932,3.065015001,5.994709563,2.991302152,3.013300682,3.634376991,2.964477463,2.88587665,8.686749999,4.034746976,7.150418405,3.563219112,3.382319464,4.22297728,3.463617502,3.476471946,0.87309337,-0.852876656,-0.145650138,-0.303440915,-0.560414363,0.234336471,-0.032342897,-0.480505037,2.709146895,3.309955018,1.959541738,2.396819845,2.30143343,2.037529602,2.612483052,2.881961728,48.73683225,15.63300366,38.99780287,9.605224113,8.194335113,16.97877705,9.068534917,8.79970333,0.240538214,0.240538214,0.240538214,0.240538214,0.240538214,0.240538214,0.240538214,0.240538214,3.871791651,3.871791651,3.871791651,3.871791651,3.871791651,3.871791651,3.871791651,3.871791651,-105932.3486,-105932.3486,-105932.3486,-105932.3486,-105932.3486,-105932.3486,-105932.3486,-105932.3486,34954721164.5498+14364888103.1846i,34954721164.5498+14364888103.1846i,34954721164.5498+14364888103.1846i,34954721164.5498+14364888103.1846i,34954721164.5498+14364888103.1846i,34954721164.5498+14364888103.1846i,34954721164.5498+14364888103.1846i,34954721164.5498+14364888103.1846i,23.83334668,5.141655755,16.14878723,4.010102134,3.613263518,5.632586584,3.789049141,3.81722575
7,-1.03550341,-0.098450516,-3.44335165,-1.459078364,-1.372175858,0.232231983,-0.764517225,-1.059016757,6.79155553,4.713237229,4.345493524,3.403694315,3.623855062,3.532773561,3.014274212,2.687148274,5.606641002,3.824020906,4.425446159,3.021674753,3.223976681,2.843685002,2.629064017,2.292272014,6.84334864,4.695528862,5.530833299,3.690812803,3.861472167,3.526381889,3.098100337,2.878363193,-0.347767644,-0.460827168,-0.121423846,-0.003352062,-0.259556134,-0.185598406,0.126571599,-0.192233722,2.23185184,2.689721606,2.318677076,2.61248056,2.328422915,2.626916505,2.429791796,2.398029166,46.12522652,22.21460518,18.88331396,11.58513499,13.13232551,12.48048903,9.085849024,7.220765846,0.273094257,0.273094257,0.273094257,0.273094257,0.273094257,0.273094257,0.273094257,0.273094257,3.746426038,3.746426038,3.746426038,3.746426038,3.746426038,3.746426038,3.746426038,3.746426038,-75921.85411,-75921.85411,-75921.85411,-75921.85411,-75921.85411,-75921.85411,-75921.85411,-75921.85411,37704739706.7841+50767250.7822733i,37704739706.7841+50767250.7822733i,37704739706.7841+50767250.7822733i,37704739706.7841+50767250.7822733i,37704739706.7841+50767250.7822733i,37704739706.7841+50767250.7822733i,37704739706.7841+50767250.7822733i,37704739706.7841+50767250.7822733i,14.79134933,6.963689761,9.661654974,4.302436032,4.70951522,3.927616468,3.031526332,2.616746169
7,2.703245615,-0.379982874,-2.950703987,-1.789098446,-1.805383222,-0.387421715,-1.705312008,-1.40843613,4.017848981,4.217211302,4.387463312,2.771444395,3.116097583,2.24554781,2.471699735,2.570207583,4.194587707,3.560855771,4.083632297,2.5205486,2.777303466,1.843111667,2.478203703,2.424724731,4.829340262,4.217595095,5.272922517,3.289501136,3.590600051,2.269925292,2.994812535,2.921854042,-0.54388047,0.221161738,-0.234529757,-0.619960982,-0.568856706,0.383735445,0.23465884,0.067276333,2.729724736,2.113493024,2.520782681,3.048828225,2.775298025,2.723157948,3.078031816,2.341920885,16.14311044,17.78487117,19.24983431,7.680904032,9.710064148,5.042484967,6.109299578,6.605967022,0.323849319,0.323849319,0.323849319,0.323849319,0.323849319,0.323849319,0.323849319,0.323849319,2.850949706,2.850949706,2.850949706,2.850949706,2.850949706,2.850949706,2.850949706,2.850949706,-50156.94297,-50156.94297,-50156.94297,-50156.94297,-50156.94297,-50156.94297,-50156.94297,-50156.94297,40413696507.1116-17564648199.4071i,40413696507.1116-17564648199.4071i,40413696507.1116-17564648199.4071i,40413696507.1116-17564648199.4071i,40413696507.1116-17564648199.4071i,40413696507.1116-17564648199.4071i,40413696507.1116-17564648199.4071i,40413696507.1116-17564648199.4071i,7.366242265,5.618238203,8.781590189,3.417672687,4.071968898,1.627397013,2.832759288,2.696419259
